Agent_name,word,frequency
Sarah Bennett,tomorrow,2
Monique Graham,just,2
Brandy Foley,poor,2
Chad Burns,happy,2
Daniel Davis,early,2
Andrea Wilkerson,poor,2
Brandon Young,buy,2
Bruce Banks,buy,2
Olivia Villa,showing,2
Carolyn Sullivan,happy,2
Olivia Villa,just,2
Pamela Perez,showing,2
Brandon Martin,cheat,2
Peter Lawrence,just,2
Amy Burke,poor,2
David Taylor,happy,2
William Carey DVM,great,2
Natasha Hunter,cancel,2
Renee Lucas,check,2
William Melton,things,2
Michael Gomez,solution,2
Lawrence Phillips,larger,2
Lawrence Phillips,july,2
Kayla Martin,solution,2
Tony Jones,laptop,2
Olivia Villa,checked,2
Holly King,laptop,2
Jason Glover,happy,2
Curtis Mccarthy,replacement,2
Kathy Decker DVM,refund,2
Teresa Nolan,language,2
Nicholas Wright,poor,2
Daniel Davis,bt,2
Anthony Shaffer,just,2
Elizabeth Garcia,check,2
Bradley Lyons,pm,2
Nathan Nguyen,check,2
Jason Wilson,duplicate,2
Matthew Lambert,poor,2
Mark Vasquez,poor,2
Joanna Wright,duty,2
Paul Preston,great,2
Ann English,replacement,2
David Butler,pm,2
Elizabeth Rose,just,2
Elizabeth Reid,pm,2
Emily Mckenzie,just,2
Robert Lara,great,2
Amy Flores,replacement,2
Robert Lara,buy,2
Samantha Harmon,just,2
Brandy Foley,happy,2
Douglas Savage,time,2
Alexandra Harris,change,2
Cody Perez,called,2
Christina Bolton,time,2
Joseph Brown,told,2
Patrick Shelton,ke,2
Darren Watson,regarding,2
Elizabeth Collins,end,2
Daniel Henderson,time,2
Darren Watson,time,2
Christine Lewis,happened,2
David Taylor,time,2
Michelle Moore,centre,2
Lisa Wilson,kept,2
James Chung,told,2
Dylan Mercer,time,2
Anthony Shaffer,called,2
Christina Bolton,policy,2
Wayne Jimenez,repair,2
Aaron Edwards,kg,2
Joshua Rose,easy,2
Robert Lewis,ko,2
Elizabeth Reid,time,2
Sharon Bullock,kg,2
Seth Williamson,gstin,2
Christine Castro,center,2
Joe Walls,rep,2
Matthew White PhD,skills,2
Andrea Peterson,simple,2
Gregory Jackson,time,2
Dawn Porter,policy,2
Brandy Odonnell,regarding,2
Brian Wilson PhD,time,2
Devon Daniel,chatbot,2
Michael Brady,end,2
Brian Wall,chatbot,2
Rebecca James,till,2
Christina Bolton,buyer,2
Kristen Olson,buyer,2
Melanie Anderson,grocery,2
Ricky Berger,till,2
Jacob Hester,lack,2
Kristine Banks,policies,2
Wendy Taylor,told,2
Angela Reid,ka,2
Nathan Nguyen,chart,2
Savannah Keller,buying,2
Aaron Edwards,time,2
Dalton Oneal,ka,2
Diana Sanchez,ka,2
Ann English,called,2
Robert Smith,told,2
Allison Wheeler,time,2
Amanda Rodriguez,time,2
Michelle Clark,politely,2
