Topic,Words,Frequency,Class
8,"reach, number, telling, app, easy",1,Janet Shea
-1,"attitude, knowledgeable, overall, things, representative",1,Mark Gonzalez
5,"good, executive, customer, care, helpful",1,Sarah Frazier
-1,"interaction, care, good, customer, talk",1,Dawn Brown
0,"type, suit, act, date, harassment",1,Dawn Brown
1,"satisfied, executive, helpful, polite, good",1,Dawn Brown
5,"service, executive, good, customer, care",1,Dawn Brown
9,"thanx, maam, alot, thanku, solve",1,Dawn Brown
29,"nice, person, thanx, lovely, happing",1,Dawn Brown
9,"query, resolved, thanks, service, customer",1,Casey Page
0,"primary, number, remove, productotp, adding",1,Alan Cruz
1,"talk, nice, executive, helpful, polite",1,Melanie Cortez
15,"supportive, executive, customer, support, helpful",1,Melanie Cortez
25,"service, good, customer, hole, job",1,Melanie Cortez
-1,"supportive, executive, customer, talk, talking",1,Megan Smith
0,"cancelled, status, 15august, confirm, 25",1,Megan Smith
1,"difficult, connect, executive, helpful, polite",1,Megan Smith
2,"cx, promised, 24, hours, hope",1,Megan Smith
10,"bad, service, care, customer, poor",1,Megan Smith
43,"conversation, executive, good, care, customer",1,Megan Smith
47,"talk, good, nice, nicely, ",1,Megan Smith
0,"calmy, solutionbest, skies, highkudos, soars",1,Stacy Morales
0,"supplied, spoiling, goodwill, entertain, worthless",2,Jessica Sanders
10,"gona, bad, review, minutes, hold",1,Jessica Sanders
-1,"unhelpful, rude, care, executive, customer",1,Katherine Simpson
51,"brilliant, service, ko, customer, 5rating",1,Katherine Simpson
0,"rude, opinion, leading, behaving, 17th",2,Sarah Keller
-1,"visible, include, iconfeature, respons, whatsapp",3,Xavier Little
0,"respect, honest, best, person, shopzilla",1,Xavier Little
8,"enquiries, direct, difficult, reach, option",1,Xavier Little
21,"novice, unprofessional, adamant, average, misleads",1,Xavier Little
55,"behaviour, support, executive, good, osm",1,Xavier Little
-1,"issueit, seriously, dealing, look, needs",1,John Green
33,"shop, worst, app, executives, care",1,John Green
0,"figure, cooleri, couple, guyz, dolooks",1,Christine Lewis
28,"acche, kiye, bat, bahut, se",1,Christine Lewis
0,"causes, frequently, ek, necessary, inconvenience",1,Wanda Kelly
-1,"onlythey, protocol, interactive, follows, maximum",2,Tabitha Ayala
-1,"thatotherwise, echoing, finally, costumer, kindly",2,Allison Wheeler
0,"competing, beautifulthan, forever, sheu2019s, experiencing",2,Allison Wheeler
20,"service, good, customer, sapoot, maners",1,Allison Wheeler
28,"bahut, acchi, dene, itni, ki",1,Allison Wheeler
0,"regulations, rules, delay, money, day",1,David Parker
31,"result, irritating, answers, consultant, query",1,David Parker
-1,"wrk, luck, ashish, nyc, im",1,Brenda Suarez
0,"myorder, experienceshopzilla, broforhelp, aashish, stuck",2,Brenda Suarez
5,"bt, pls, improve, great, executives",1,Brenda Suarez
0,"nootherwise, aspected, productit, lesser, earlier",1,Nicole Zavala
19,"team, solve, issue, care, customer",1,Nicole Zavala
0,"code, emailed, issueconcern, instant, arent",3,Rachel Smith
2,"fell, hung, answer, executives, dont",1,Rachel Smith
24,"repeated, frustrating, explained, new, need",1,Rachel Smith
27,"talking, nice, costomer, easily, supporting",1,Rachel Smith
4,"staff, excellent, customers, experience, care",1,Jeremy Bates
13,"awesome, calling, excellent, service, care",1,Jeremy Bates
33,"stole, worst, agent, delivery, product",1,Kiara Powers
-1,"concerns, solutions, actually, appreciate, did",1,Paul Cunningham DVM
26,"talk, nice, love, resolutionthank, aarjavplease",1,Paul Cunningham DVM
49,"response, nice, care, executive, customer",1,Paul Cunningham DVM
-1,"nicly, consultant, talk, talking, customer",1,Sarah Taylor
0,"satyathanks, goos, discounts, appoint, satyai",2,Sarah Taylor
0,"reduce, related, item, resolve, bad",1,Anthony Diaz
1,"pathetic, executive, helpful, polite, good",1,Anthony Diaz
4,"care, good, customer, experience, services",1,Anthony Diaz
7,"person, good, muchh, thise, toking",1,Anthony Diaz
0,"nicely, hamper, junk, kyusbu, exploit",4,John Gordon
16,"talk, care, good, customer, talking",1,John Gordon
